borough,crimerate
Kingston upon Thames,63.1
Croydon,85.5
Bromley,65.9
Hounslow,87.5
Ealing,84.0
Havering,65.0
Hillingdon,80.3
Harrow,62.4
Brent,85.6
Barnet,69.1
Lambeth,93.0
Southwark,100.3
Lewisham,89.0
Greenwich,90.2
Bexley,62.6
Enfield,84.9
Waltham Forest,109.4
Redbridge,75.1
Sutton,85.5
Richmond upon Thames,61.4
Merton,64.5
Wandsworth,77.2
Hammersmith and Fulham,104.3
Kensington and Chelsea,113.4
Westminster,193.2
Camden,117.4
Tower Hamlets,100.2
Islington,107.1
Hackney,109.4
Haringey,101.2
Newham,94.5
Barking and Dagenham,89.9
City of London,
