borough,crimerate2020,crimerate2019
Kingston upon Thames,63.1,74.5
Croydon,85.5,95.1
Bromley,65.9,77.6
Hounslow,87.5,102.8
Ealing,84.0,96.1
Havering,65.0,73.9
Hillingdon,80.3,93.3
Harrow,62.4,71.3
Brent,85.6,96.2
Barnet,69.1,80.6
Lambeth,93.0,111.1
Southwark,100.3,121.7
Lewisham,89.0,99.8
Greenwich,90.2,104.3
Bexley,62.6,73.8
Enfield,84.9,96.1
Waltham Forest,109.4,93.7
Redbridge,75.1,83.2
Sutton,85.5,72.1
Richmond upon Thames,61.4,67.7
Merton,64.5,73.5
Wandsworth,77.2,82.7
Hammersmith and Fulham,104.3,126.2
Kensington and Chelsea,113.4,155.7
Westminster,193.2,281.7
Camden,117.4,142.7
Tower Hamlets,100.2,109.2
Islington,107.1,125.3
Hackney,109.4,122.8
Haringey,101.2,122.2
Newham,94.5,105.1
Barking and Dagenham,89.9,99.5
City of London,123.4,186.4
