borough,crimerate
Kingston upon Thames,74.5
Croydon,95.1
Bromley,77.6
Hounslow,102.8
Ealing,96.1
Havering,73.9
Hillingdon,93.3
Harrow,71.3
Brent,96.2
Barnet,80.6
Lambeth,111.1
Southwark,121.7
Lewisham,99.8
Greenwich,104.3
Bexley,73.8
Enfield,96.1
Waltham Forest,93.7
Redbridge,83.2
Sutton,72.1
Richmond upon Thames,67.7
Merton,73.5
Wandsworth,82.7
Hammersmith and Fulham,126.2
Kensington and Chelsea,155.7
Westminster,281.7
Camden,142.7
Tower Hamlets,109.2
Islington,125.3
Hackney,122.8
Haringey,122.2
Newham,105.1
Barking and Dagenham,99.5
City of London,165
